timestamp,load,ram_usage
367773611,0.7155857,0.8654773
368258298,0.8608813,0.8654773
368757909,0.75342035,0.8654773
369257944,0.7017485,0.8654773
369757908,0.69877934,0.8654773
370258634,0.7064034,0.8654773
370758297,0.6991435,0.8654773
371257909,0.7029588,0.8654773
371758042,0.70138603,0.8654773
372257973,0.705213,0.8654773
372759311,0.7006444,0.8654773
373258539,0.7062464,0.8654773
373757912,0.70026433,0.8654773
374258184,0.7038696,0.8654773
374757909,0.70331645,0.8654773
375259412,0.7048296,0.8654773
375758158,0.6994528,0.86678606
376257966,0.70871043,0.86678606
376757923,0.7081987,0.86678606
377258064,0.70685,0.86678606
377759812,0.7060238,0.86678606
378257999,0.71031,0.86788815
378758159,0.70303226,0.86788815
379258061,0.70962954,0.86788815
379757911,0.71029174,0.86788815
380257914,0.7073168,0.86788815
380759070,0.7115495,0.86788815
381258219,0.70991576,0.86788815
381757956,0.7093206,0.86788815
382258059,0.7108419,0.86788815
382757912,0.70752776,0.86788815
383259633,0.70998,0.86788815
383758415,0.7045995,0.86788815
384257931,0.710042,0.86788815
384758057,0.710101,0.86788815
385257956,0.7073397,0.86788815
385758135,0.708845,0.86788815
386257992,0.708961,0.86788815
386757915,0.70601475,0.86788815
387258126,0.70906484,0.86788815
387757951,0.70499814,0.86788815
388258454,0.7121465,0.86788815
388758198,0.7048433,0.86788815
389257984,0.7109563,0.86788815
389758025,0.70734316,0.86788815
390257914,0.712249,0.86788815
390759970,0.705374,0.86788815
391258999,0.708676,0.86788815
391758043,0.7065769,0.86788815
392257978,0.71058685,0.86788815
392758025,0.70637393,0.86788815
393257920,0.7117454,0.86788815
393759584,0.70624363,0.86788815
394258585,0.71334606,0.86788815
394757910,0.711312,0.86788815
395258153,0.70828885,0.86788815
395757965,0.71135235,0.86788815
396259646,0.71035385,0.86788815
396757910,0.7076552,0.86788815
397257906,0.707604,0.86788815
397757913,0.71208453,0.86788815
398257912,0.7070954,0.86788815
398759908,0.7118205,0.86788815
399258912,0.7082945,0.86788815
399757941,0.7080153,0.86788815
400257909,0.7076011,0.86788815
400757999,0.7056296,0.86788815
401257951,0.7128365,0.86788815
401758560,0.71149045,0.86788815
402258152,0.71007717,0.86788815
402757906,0.7085206,0.86788815
403257922,0.7080158,0.86788815
403757998,0.709389,0.86788815
404259785,0.7106949,0.86788815
404758014,0.7088578,0.86788815
405257915,0.7095648,0.86788815
405758288,0.70941484,0.86788815
406257937,0.7135399,0.86788815
406759067,0.7092062,0.86788815
407258002,0.70344746,0.86788815
407757922,0.70847344,0.86788815
408257917,0.7073506,0.86788815
408757910,0.709082,0.86788815
409260082,0.70755196,0.86788815
409758422,0.70688546,0.86788815
410258262,0.7079958,0.86788815
410758012,0.7082343,0.86788815
411257913,0.70497346,0.86788815
411757909,0.71062577,0.86788815
412258219,0.70758593,0.86788815
412758396,0.7084151,0.86788815
413257909,0.71158063,0.86788815
413758181,0.71049666,0.86788815
414257910,0.71003306,0.86788815
414759799,0.70642155,0.86788815
415258186,0.71029264,0.86788815
415758004,0.71219134,0.86788815
416257915,0.7070582,0.86788815
416757914,0.7102591,0.86788815
417257915,0.706352,0.86788815
417759387,0.7095711,0.86788815
418258494,0.70777833,0.86788815
418757995,0.70693326,0.86788815
419257914,0.71143997,0.86788815
419757910,0.71014404,0.86788815
420259581,0.7031155,0.86788815
420759227,0.7059146,0.86788815
421257977,0.7031181,0.86788815
421758303,0.7088498,0.86788815
422258100,0.70674574,0.86788815
422759954,0.70933527,0.86788815
423258829,0.70455575,0.86788815
423757935,0.70717406,0.86788815
424257944,0.7072153,0.86788815
424757981,0.8010032,0.86788815
425257911,0.75832987,0.86788815
