timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
369073605,96.0,95.8213,16,86,4259,8192,0,3,142
370074286,124.00781,61.925076,16,86,7313,8192,0,3,142
371074860,156.0957,51.97784,16,86,6018,8192,0,3,142
372076258,188.04297,46.957695,16,86,4826,8192,0,3,142
373077378,220.23145,43.996677,16,86,3932,8192,0,3,142
374077775,252.02148,41.961376,16,86,3376,8192,0,3,142
375079721,280.0,39.954445,16,86,6595,8192,0,3,142
376079774,318.2168,39.737194,16,86,50,8192,0,3,142
377080962,349.88477,38.836292,16,86,100,8192,0,3,142
378082276,381.5996,38.119797,16,86,100,8192,0,3,142
379083315,408.0,37.05192,18,86,4039,8192,0,3,142
380083878,440.0,36.629616,18,86,3911,8192,0,3,142
381084793,472.0,36.271275,18,86,3971,8192,0,3,142
382085832,504.0,35.9638,18,86,4103,8192,0,3,142
383087130,540.041,35.965836,18,86,150,8192,0,3,142
384088062,568.0,35.46382,18,86,3798,8192,0,3,142
385089582,600.0,35.257114,18,86,3690,8192,0,3,142
386089893,632.0,35.07574,18,86,3299,8192,0,3,142
387090795,664.0,34.912354,18,86,3032,8192,0,3,142
388093266,696.0,34.762585,18,86,2801,8192,0,3,142
389096297,728.0,34.62618,18,86,2626,8192,0,3,142
390098961,760.0,34.50276,18,86,2518,8192,0,3,142
391101877,792.0,34.389725,18,86,2184,8192,0,3,142
392103111,824.0,34.288513,18,86,2016,8192,0,3,142
393103981,856.0,34.1959,18,86,1738,8192,0,3,142
394104756,888.0,34.11053,18,86,1817,8192,0,3,142
395105749,920.0,34.031208,20,86,260,8192,0,3,142
396106816,952.0,33.957462,20,86,392,8192,0,3,142
397109577,980.00684,33.749306,20,86,3990,8192,0,3,142
398112539,1012.0117,33.68791,20,86,3976,8192,0,3,142
399113812,1044.0234,33.63253,20,86,3993,8192,0,3,142
400114589,1078.8535,33.669086,20,86,793,8192,0,3,142
401115302,1111.0508,33.623817,20,86,752,8192,0,3,142
402116240,1143.0107,33.57402,20,86,702,8192,0,3,142
403117292,1172.498,33.4564,20,86,3407,8192,0,3,142
404120019,1206.8086,33.477562,20,86,1067,8192,0,3,142
405123220,1238.834,33.435482,20,86,1269,8192,0,3,142
406124879,1268.1074,33.324646,20,86,3833,8192,0,3,142
407128873,1301.6221,33.326103,20,86,1860,8192,0,3,142
408131788,1334.0957,33.3024,20,86,1107,8192,0,3,142
409133942,1365.9902,33.26637,20,86,1207,8192,0,3,142
410134736,1397.9531,33.23475,20,86,1207,8192,0,3,142
411135796,1428.4609,33.17061,21,86,1257,8192,0,3,142
412136751,1460.3555,33.14093,21,86,1257,8192,0,3,142
413137740,1492.4355,33.116665,21,86,1257,8192,0,3,142
414138975,1524.0957,33.08416,21,86,1377,8192,0,3,142
415139740,1556.1758,33.062286,21,86,1257,8192,0,3,142
416140790,1588.1318,33.038555,21,86,954,8192,0,3,142
417143152,1620.0264,33.01365,21,86,954,8192,0,3,142
418146298,1652.0957,32.992718,21,86,655,8192,0,3,142
419147312,1684.0264,32.971268,21,86,858,8192,0,3,142
420148477,1716.0293,32.95194,21,86,705,8192,0,3,142
421149243,1748.0908,32.934685,21,86,150,8192,0,3,142
422150250,1776.0,32.84114,21,86,3798,8192,0,3,142
423151293,1808.0,32.82525,21,86,3187,8192,0,3,142
424152411,1840.0,32.80988,21,86,2968,8192,0,3,142
425153981,1872.0,32.79479,21,86,2769,8192,0,3,142
