timestamp,rtl_time_s,rtl_limit_fraction
367512789,0.13704035,0.00015226706
368528952,0.11499058,0.00012776731
369586236,0.090966105,0.000101073456
370593675,0.12556548,0.00013951721
371640566,0.0783609,8.7067674e-05
372660032,0.097482,0.00010831335
373672905,0.13662988,0.00015181098
374679493,0.17541322,0.0001949036
375693024,0.01511757,1.6797301e-05
376695476,0.35602543,0.00039558383
377711684,0.7912953,0.00087921706
378731922,1.3029644,0.0014477384
379744625,1.9142914,0.0021269906
380791401,2.677148,0.0029746091
381812150,3.4861984,0.003873554
382828431,4.285243,0.0047613815
383828083,5.2868176,0.0058742417
384842464,6.2262874,0.0069180974
385853917,6.8149223,0.0075721364
386862758,7.300836,0.00811204
387873770,7.9485755,0.0088317515
388882171,8.148338,0.00905371
389884751,8.016241,0.008906934
390891084,7.8154206,0.008683801
391903675,7.597158,0.008441287
392911317,7.180933,0.007978815
393931490,6.627536,0.007363929
395043291,6.1759224,0.006862136
395946473,5.7163076,0.0063514533
396970960,5.310196,0.005900218
398015024,4.9218717,0.0054687466
399030871,4.5883074,0.0050981194
400043749,4.3102217,0.0047891354
401064348,3.8825805,0.0043139784
402069829,3.6542077,0.0040602307
403073980,3.3456206,0.0037173564
404081252,3.102985,0.003447761
405092257,2.766209,0.0030735657
406103368,2.4350433,0.0027056038
407243019,2.142883,0.0023809813
408133024,1.8571264,0.002063474
409144952,1.6981493,0.0018868328
410151736,1.4460424,0.0016067139
411164206,1.2888857,0.0014320953
412174619,1.2250926,0.0013612141
413184853,1.126766,0.0012519623
414193133,0.975949,0.0010843878
415206462,0.7075556,0.0007861729
416215336,0.5375571,0.00059728575
417227758,0.40849873,0.0004538875
418232570,0.3037707,0.000337523
419244592,0.043608673,4.8454083e-05
420273317,0.21920727,0.00024356366
421290837,0.14072959,0.00015636622
422303254,0.056908406,6.3231564e-05
423312307,0.16114262,0.00017904736
424343350,0.17862228,0.0001984692
