timestamp,speed_xy,speed_up,speed_down,want_takeoff
368082286,12.0,3.0,1.0,0
369062102,12.0,3.0,1.0,0
370060876,12.0,3.0,1.0,0
371072958,12.0,3.0,1.0,0
372061464,12.0,3.0,1.0,0
373065417,12.0,3.0,1.0,0
374071713,12.0,3.0,1.0,0
375061209,12.0,3.0,1.0,1
376068299,12.0,3.0,1.0,1
377062090,12.0,3.0,1.0,0
378060274,12.0,3.0,1.0,1
379072120,12.0,3.0,1.0,1
380061200,12.0,3.0,1.0,1
381068701,12.0,3.0,1.0,1
382071292,12.0,3.0,1.0,1
383060521,12.0,3.0,1.0,1
384072419,12.0,3.0,1.0,1
385061824,12.0,3.0,1.0,1
386060571,12.0,3.0,1.0,0
387072293,12.0,3.0,1.0,1
388061112,12.0,3.0,1.0,0
389072880,12.0,3.0,1.0,0
390061952,12.0,3.0,1.0,0
391060243,12.0,3.0,1.0,0
392063424,12.0,3.0,1.0,0
393061727,12.0,3.0,1.0,0
394068791,12.0,3.0,1.0,0
395063336,12.0,3.0,1.0,0
396061007,12.0,3.0,1.0,0
397063392,12.0,3.0,1.0,0
398062177,12.0,3.0,1.0,0
399069441,12.0,3.0,1.0,0
400071774,12.0,3.0,1.0,0
401061428,12.0,3.0,1.0,0
402068615,12.0,3.0,1.0,0
403062659,12.0,3.0,1.0,0
404060520,12.0,3.0,1.0,0
405067785,12.0,3.0,1.0,0
406061598,12.0,3.0,1.0,0
407060211,12.0,3.0,1.0,0
408067189,12.0,3.0,1.0,0
409061202,12.0,3.0,1.0,0
410073087,12.0,3.0,1.0,0
411062220,12.0,3.0,1.0,0
412060817,12.0,3.0,1.0,0
413072473,12.0,3.0,1.0,0
414061795,12.0,3.0,1.0,0
415060333,12.0,3.0,1.0,0
416071995,12.0,3.0,1.0,0
417061387,12.0,3.0,1.0,0
418068833,12.0,3.0,1.0,0
419062137,12.0,3.0,1.0,0
420060901,12.0,3.0,1.0,0
421067738,12.0,3.0,1.0,0
422061924,12.0,3.0,1.0,0
423069182,12.0,3.0,1.0,0
424071879,12.0,3.0,1.0,0
425061235,12.0,3.0,1.0,0
