timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
368352090,inf,0,1,1,1,0,0,1,0,0,1
369359239,inf,0,1,1,1,0,0,1,0,0,1
370362050,inf,0,1,1,1,0,0,1,0,0,1
371369269,inf,0,1,1,1,0,0,1,0,0,1
372372191,inf,0,1,1,1,0,0,1,0,0,1
373379398,inf,0,1,1,1,0,0,1,0,0,1
374391102,inf,0,1,1,1,0,0,1,0,0,1
374512340,inf,0,1,1,1,1,0,1,0,0,1
375281576,inf,0,1,0,0,1,0,1,0,0,1
375290206,inf,0,0,0,0,1,0,1,0,0,1
376293079,inf,0,0,0,0,1,0,0,1,0,1
377300578,inf,0,0,0,0,1,0,0,0,0,1
378307826,inf,0,0,0,0,1,0,0,1,0,1
379310288,inf,0,0,0,0,1,0,0,1,0,1
380281824,inf,0,0,0,0,0,0,0,1,0,1
381289127,inf,0,0,0,0,0,0,0,1,0,1
382291733,inf,0,0,0,0,0,0,0,1,0,1
383299093,inf,0,0,0,0,0,0,0,1,0,1
384302371,inf,0,0,0,0,0,0,0,1,0,1
385309211,inf,0,0,0,0,0,0,0,1,0,1
386321493,inf,0,0,0,0,0,0,0,0,0,1
387332787,inf,0,0,0,0,0,0,0,1,0,1
388340110,inf,0,0,0,0,0,0,0,0,0,1
389351593,inf,0,0,0,0,0,0,0,0,0,1
390359055,inf,0,0,0,0,0,0,0,0,0,1
391361689,inf,0,0,0,0,0,0,0,0,0,1
392368950,inf,0,0,0,0,0,0,0,1,0,1
393371991,inf,0,0,0,0,0,0,0,1,0,1
394379572,inf,0,0,0,0,0,0,0,1,0,1
395381747,inf,0,0,0,0,0,0,0,0,0,1
396389146,inf,0,0,0,0,0,0,0,0,0,1
397392166,inf,0,0,0,0,0,0,0,0,0,1
398399351,inf,0,0,0,0,0,0,0,1,0,1
399412161,inf,0,0,0,0,0,0,0,1,0,1
400422883,inf,0,0,0,0,0,0,0,1,0,1
400549222,inf,0,0,0,0,1,1,0,1,0,1
400912870,inf,0,0,0,0,0,0,0,1,0,1
401920209,inf,0,0,0,0,0,0,0,1,0,1
402923291,inf,0,0,0,0,0,0,0,1,0,1
403930797,inf,0,0,0,0,0,0,0,1,0,1
404942257,inf,0,0,0,0,0,0,0,1,0,1
405949657,inf,0,0,0,0,0,0,0,1,0,1
406952235,inf,0,0,0,0,0,0,0,1,0,1
407959304,inf,0,0,0,0,0,0,0,1,0,1
408962567,inf,0,0,0,0,0,0,0,0,0,1
409969529,inf,0,0,0,0,0,0,0,0,0,1
410973328,inf,0,0,0,0,0,0,0,0,0,1
411979882,inf,0,0,0,0,0,0,0,0,0,1
412982694,inf,0,0,0,0,0,0,0,1,0,1
413990074,inf,0,0,0,0,0,0,0,1,0,1
415001653,inf,0,0,0,0,0,0,0,0,0,1
416010344,inf,0,0,0,0,0,0,0,0,0,1
417013535,inf,0,0,0,0,0,0,0,1,0,1
418019295,inf,0,0,0,0,0,0,0,0,0,1
419022122,inf,0,0,0,0,0,0,0,0,0,1
420029410,inf,0,0,0,0,0,0,0,0,0,1
421041549,inf,0,0,0,0,0,0,0,0,0,1
422052957,inf,0,0,0,0,0,0,0,0,0,1
423060081,inf,0,0,0,0,0,0,0,0,0,1
424072034,inf,0,0,0,0,0,0,0,0,0,1
424621406,inf,0,1,1,1,0,0,1,0,0,1
